ID,FromNodeID,ToNodeID,Length,distance,angle,xcoord,ycoord
L1,A1,A2,"17",0,303.984486478234,315377.779,4071610.861
L1,A1,A2,"17",6,303.984486478234,315372.803866298,4071614.21481047
L1,A1,A2,"17",12,303.984486478234,315367.828732596,4071617.56862093
L2,A2,A4,"8",0,301.255657542063,315364.084,4071620.093
L2,A2,A4,"8",3,337.175454899998,315362.089097711,4071622.2578043
L2,A2,A4,"8",6,15.9401875840576,315361.896816709,4071625.19391631
L3,A4,A5,"34",0,34.3577226666102,315362.985,4071627.066
L3,A4,A5,"34",6,34.3577226666102,315366.371148096,4071632.0191809
L3,A4,A5,"34",12,34.3577226666102,315369.757296192,4071636.97236181
L3,A4,A5,"34",18,34.3577226666102,315373.143444289,4071641.92554271
L3,A4,A5,"34",24,34.3577226666102,315376.529592385,4071646.87872362
L3,A4,A5,"34",30,34.3577226666102,315379.915740481,4071651.83190452
L4,A5,A7,"9",0,19.0295041980136,315382.046,4071654.948
L4,A5,A7,"9",3,62.2194343884038,315384.035386972,4071657.11087433
L4,A5,A7,"9",6,102.148541675043,315386.949600847,4071657.50305108
L5,A7,A8,"5",0,143.398494632723,315389.356,4071656.044
L5,A7,A8,"5",3,143.398494632723,315391.144737903,4071653.63559457
L6,A8,A9,"14",0,122.813621302828,315392.029,4071652.445
L6,A8,A9,"14",6,122.813621302828,315397.071626775,4071649.19355183
L6,A8,A9,"14",12,122.813621302828,315402.114253551,4071645.94210366
L7,A9,A11,"19",0,125.102302208784,315403.839,4071644.83
L7,A9,A11,"19",6,125.102302208784,315408.747759674,4071641.37977125
L7,A9,A11,"19",12,125.102302208784,315413.656519349,4071637.92954249
L7,A9,A11,"19",18,125.102302208784,315418.565279023,4071634.47931374
L8,A11,A13,"8",0,146.610682654668,315419.822,4071633.596
L8,A11,A13,"8",3,169.328188125723,315421.230458287,4071630.99975611
L8,A11,A13,"8",6,206.16410024173,315420.834797274,4071628.07732928
L9,A13,A14,"5",0,204.511625406861,315419.871,4071626.768
L9,A13,A14,"5",3,204.511625406861,315418.6263664,4071624.03836867
L10,A8,A17,"6",0,86.4736791830288,315392.029,4071652.445
L10,A8,A17,"6",3,86.4736791830288,315395.023319945,4071652.62952118
L11,A17,A16,"12",0,124.743636046133,315398.163,4071652.823
L11,A17,A16,"12",6,124.743636046133,315403.093261461,4071649.40356702
L12,A16,A15,"11",0,124.722817614939,315407.744,4071646.178
L12,A16,A15,"11",6,124.722817614939,315412.675503587,4071642.76035865
L12,A16,A15,"11",9,124.722817614939,315415.141255381,4071641.05153798
L13,A15,A11,"7",0,152.346902643983,315416.357,4071640.209
L13,A15,A11,"7",3,152.346902643983,315417.749351306,4071637.55167845
L13,A15,A11,"7",6,152.346902643983,315419.141702611,4071634.89435689
L14,A14,A18,"3",0,213.729503655386,315417.836,4071622.305
L15,A18,A20,"4",0,216.582803713415,315416.046,4071619.624
L15,A18,A20,"4",3,249.930357074849,315413.63580673,4071617.90380283
L15,A18,A20,"4",5,249.935472,,
